,X,Y,Z,n_points_10,corr_dim_10
37,54.1265869140625,-25.0,-31.25,1,7.631024693995909e-06
38,43.30126953125,0.0,-25.0,1,7.631024693995909e-06
39,32.4759521484375,25.0,-18.75,1,7.631024693995909e-06
40,21.650634765625,50.0,-12.5,1,7.631024693995909e-06
41,10.8253173828125,75.0,-6.25,1,7.631024693995909e-06
42,25.53481483459473,-100.0,-21.42625427246094,1,7.631024693995909e-06
43,51.06962966918945,-100.0,-42.85250854492188,1,7.631024693995909e-06
44,76.60444641113281,-100.0,-64.27876281738281,1,7.631024693995909e-06
45,67.02889251708984,-75.0,-56.24391555786133,1,7.631024693995909e-06
46,57.45333480834961,-50.0,-48.20907211303711,1,7.631024693995909e-06
47,47.87777709960938,-25.0,-40.17422485351562,1,7.631024693995909e-06
48,38.30222320556641,0.0,-32.13938140869141,1,7.631024693995909e-06
49,28.7266674041748,25.0,-24.10453605651855,1,7.631024693995909e-06
50,19.1511116027832,50.0,-16.0696907043457,1,7.631024693995909e-06
51,9.5755558013916,75.0,-8.03484535217285,1,7.631024693995909e-06
52,21.42625427246094,-100.0,-25.53481483459473,1,7.631024693995909e-06
53,42.85250854492188,-100.0,-51.06962966918945,1,7.631024693995909e-06
54,64.27876281738281,-100.0,-76.60444641113281,1,7.631024693995909e-06
55,56.24391555786133,-75.0,-67.02889251708984,1,7.631024693995909e-06
56,48.20907211303711,-50.0,-57.45333480834961,1,7.631024693995909e-06
57,40.17422485351562,-25.0,-47.87777709960938,1,7.631024693995909e-06
58,32.13938140869141,0.0,-38.30222320556641,1,7.631024693995909e-06
59,24.10453605651855,25.0,-28.7266674041748,1,7.631024693995909e-06
60,16.0696907043457,50.0,-19.1511116027832,1,7.631024693995909e-06
61,8.03484535217285,75.0,-9.5755558013916,1,7.631024693995909e-06
62,16.66666603088379,-100.0,-28.86751365661621,1,7.631024693995909e-06
63,33.33333206176758,-100.0,-57.73502731323242,1,7.631024693995909e-06
64,50.0,-100.0,-86.6025390625,1,7.631024693995909e-06
65,43.75,-75.0,-75.7772216796875,1,7.631024693995909e-06
66,37.5,-50.0,-64.951904296875,1,7.631024693995909e-06
67,31.25,-25.0,-54.1265869140625,1,7.631024693995909e-06
68,25.0,0.0,-43.30126953125,1,7.631024693995909e-06
69,18.75,25.0,-32.4759521484375,1,7.631024693995909e-06
70,12.5,50.0,-21.650634765625,1,7.631024693995909e-06
71,6.25,75.0,-10.8253173828125,1,7.631024693995909e-06
72,11.40067100524902,-100.0,-31.32308769226074,1,7.631024693995909e-06
73,22.80134201049805,-100.0,-62.64617538452148,1,7.631024693995909e-06
74,34.2020149230957,-100.0,-93.9692611694336,1,7.631024693995909e-06
75,29.92676162719727,-75.0,-82.22310638427734,1,7.631024693995909e-06
76,25.65151023864746,-50.0,-70.47694396972656,1,7.631024693995909e-06
77,21.37625885009766,-25.0,-58.73078918457031,1,7.631024693995909e-06
78,17.10100746154785,0.0,-46.9846305847168,1,7.631024693995909e-06
79,12.82575511932373,25.0,-35.23847198486328,1,7.631024693995909e-06
80,8.55050373077393,50.0,-23.4923152923584,1,7.631024693995909e-06
81,4.27525186538696,75.0,-11.7461576461792,1,7.631024693995909e-06
82,5.78827238082886,-100.0,-32.82692337036133,1,7.631024693995909e-06
83,11.57654476165771,-100.0,-65.65384674072266,1,7.631024693995909e-06
84,17.36481857299805,-100.0,-98.48077392578125,1,7.631024693995909e-06
85,15.19421577453613,-75.0,-86.1706771850586,1,7.631024693995909e-06
86,13.02361297607422,-50.0,-73.86058044433594,1,7.631024693995909e-06
87,10.85301113128662,-25.0,-61.55048370361328,1,7.631024693995909e-06
88,8.68240928649902,0.0,-49.24038696289062,1,7.631024693995909e-06
89,6.51180648803711,25.0,-36.93029022216797,1,7.631024693995909e-06
90,4.34120464324951,50.0,-24.62019348144531,1,7.631024693995909e-06
91,2.17060232162476,75.0,-12.31009674072266,1,7.631024693995909e-06
92,0.0,-100.0,-33.33333206176758,1,7.631024693995909e-06
93,0.0,-100.0,-66.66666412353516,1,7.631024693995909e-06
94,1e-14,-100.0,-100.0,1,7.631024693995909e-06
95,1e-14,-75.0,-87.5,1,7.631024693995909e-06
96,0.0,-50.0,-75.0,1,7.631024693995909e-06
97,0.0,-25.0,-62.5,1,7.631024693995909e-06
98,0.0,0.0,-50.0,1,7.631024693995909e-06
99,0.0,25.0,-37.5,1,7.631024693995909e-06
100,0.0,50.0,-25.0,1,7.631024693995909e-06
101,0.0,75.0,-12.5,1,7.631024693995909e-06
102,-5.78827238082886,-100.0,-32.82692337036133,1,7.631024693995909e-06
103,-11.57654476165771,-100.0,-65.65384674072266,1,7.631024693995909e-06
104,-17.36481857299805,-100.0,-98.48077392578125,1,7.631024693995909e-06
105,-15.19421577453613,-75.0,-86.1706771850586,1,7.631024693995909e-06
106,-13.02361297607422,-50.0,-73.86058044433594,1,7.631024693995909e-06
