,X,Y,Z,corr_dim_0.01
450,0.006857,0.034792,0.015896,116
451,0.003684,0.034902,0.015045,119
452,0.022252,0.025829,0.006687,126
453,0.019051,0.026597,0.00519,130
454,0.019489,0.024603,0.006283,128
455,0.006381,0.032793,0.009849,128
456,0.008102,0.034211,0.010184,124
457,0.0079,0.032903,0.011665,129
458,0.021433,0.027083,0.004449,117
459,0.017896,0.031136,0.003446,119
460,0.007239,0.033877,0.013543,117
461,0.008651,0.033857,0.01547,114
462,0.017267,0.027181,0.007187,136
463,0.016514,0.027711,0.00915,135
464,0.01149,0.032181,0.010273,133
465,0.008182,0.031583,0.010128,136
466,0.009874,0.032294,0.016303,112
467,0.010109,0.031235,0.009186,135
468,0.011245,0.030284,0.008128,149
469,0.009237,0.031245,0.006067,135
470,0.022817,0.024189,0.009996,128
471,0.024737,0.02574,0.008787,114
472,0.007914,0.034194,0.012008,120
473,0.00813,0.03588,0.011953,110
474,0.01629,0.025814,0.008524,128
475,0.01825,0.025913,0.00734,136
476,0.019139,0.024769,0.008152,129
477,0.019379,0.023565,0.010466,129
478,0.020637,0.024283,0.008105,128
479,0.013045,0.03042,0.008326,139
480,0.012777,0.031177,0.006808,140
481,0.023304,0.027668,0.005224,115
482,0.022503,0.029302,0.003382,107
483,0.006309,0.037742,0.010236,93
484,0.008128,0.036172,0.010208,107
485,0.00605,0.035479,0.013634,116
486,0.006241,0.036974,0.012448,102
487,0.014951,0.028054,0.010552,134
488,0.015756,0.028795,0.009584,137
489,0.013503,0.029581,0.012112,133
490,0.008564,0.033665,0.017127,103
491,0.019534,0.028896,8e-05,122
492,0.01972,0.027831,0.003025,120
493,0.011762,0.030965,0.01225,134
494,0.004032,0.036817,0.012622,94
495,0.002534,0.036892,0.010154,91
496,0.00202,0.0359,0.011672,97
497,0.01104,0.029847,0.012494,141
498,0.006397,0.034192,0.008496,115
499,0.013464,0.033037,0.005559,127
500,0.007088,0.035709,0.008884,107
501,0.004915,0.03621,0.008339,103
502,0.003935,0.033939,0.007627,99
503,0.00073,0.034254,0.007375,82
504,0.002063,0.035501,0.008537,89
505,0.000484,0.033611,0.015608,114
506,-0.002845,0.034044,0.017064,99
507,0.000664,0.033299,0.018722,99
508,0.007459,0.03211,0.008846,128
509,0.01692,0.030105,0.001567,120
510,0.008114,0.031841,0.008055,130
511,0.007554,0.033271,0.008054,120
512,0.026049,0.025313,0.011134,103
513,0.024693,0.024733,0.010781,121
514,0.011195,0.032206,0.005384,129
515,0.018023,0.025338,0.009035,131
516,0.021853,0.023682,0.013155,121
517,0.02431,0.02524,0.013309,110
518,0.01733,0.0253,0.010289,134
519,0.0001,0.035208,0.008793,85
520,0.000437,0.035975,0.009553,87
