,X,Y,Z,n_points_0.01,corr_dim_0.01
15104,0.038258,0.028157,0.002006,56,9.011110427214316e-08
15105,0.032264,0.025232,0.015254,70,1.1263888034017895e-07
15106,0.032293,0.023948,0.016634,73,1.1746626092618662e-07
15107,0.020132,0.00604,0.003491,137,2.2045038009435023e-07
15108,0.021712,0.006949,0.002791,129,2.0757736519832978e-07
15109,0.032976,0.026069,0.016502,69,1.1102975347817638e-07
15110,0.024036,0.007964,0.007483,127,2.0435911147432465e-07
15111,0.024247,0.00705,0.008974,134,2.1562299950834256e-07
15112,0.022638,0.006693,0.008349,142,2.28496014404363e-07
15113,0.026183,0.010932,0.002701,93,1.4964879816623773e-07
15114,0.02926,0.013883,0.002369,71,1.142480072021815e-07
15115,0.028202,0.015262,0.004643,66,1.0620237289216873e-07
15116,0.034351,0.021176,0.002544,55,8.85019774101406e-08
15117,0.03667,0.024242,0.000943,54,8.689285054813804e-08
15118,0.032869,0.021074,0.0034,57,9.172023113414571e-08
15119,0.033929,0.025015,0.019458,70,1.1263888034017895e-07
15120,0.034024,0.025299,0.020882,66,1.0620237289216873e-07
15121,0.033115,0.02254,0.01958,66,1.0620237289216873e-07
15122,0.033842,0.025969,0.018136,68,1.0942062661617383e-07
15123,0.024031,0.007638,0.001886,116,1.8665871599229653e-07
15124,0.022811,0.007311,0.00414,124,1.9953173088831698e-07
15125,0.03473,0.020521,0.000767,55,8.85019774101406e-08
15126,0.033392,0.023301,0.018109,72,1.1585713406418405e-07
15127,0.032892,0.024107,0.022063,66,1.0620237289216873e-07
15128,0.031757,0.020942,0.020713,68,1.0942062661617383e-07
15129,0.030542,0.017894,0.020701,66,1.0620237289216873e-07
15130,0.025151,0.008672,-0.008968,111,1.7861308168228376e-07
15131,0.033036,0.026742,0.023852,68,1.0942062661617383e-07
15132,0.031344,0.024649,0.023262,67,1.0781149975417128e-07
15133,0.030835,0.02118,0.022178,72,1.1585713406418405e-07
15134,0.028654,0.013995,0.010338,78,1.255118952361994e-07
15135,0.027596,0.014087,0.007547,69,1.1102975347817638e-07
15136,0.029117,0.016543,0.009982,60,9.654761172015338e-08
15137,0.024347,0.006535,-0.007739,113,1.8183133540628886e-07
15138,0.021829,0.004061,0.015153,152,2.4458728302438855e-07
15139,0.022797,0.005079,0.013802,147,2.3654164871437578e-07
15140,0.02622,0.009871,-0.004055,95,1.5286705189024287e-07
15141,0.031009,0.020682,0.011775,59,9.493848485815082e-08
15142,0.03061,0.018017,0.004783,53,8.528372368613549e-08
15143,0.024936,0.009897,0.005108,108,1.7378570109627609e-07
15144,0.024109,0.008762,0.00388,111,1.7861308168228376e-07
15145,0.0242,0.005271,0.012647,136,2.1884125323234766e-07
15146,0.022689,0.00495,0.011829,151,2.42978156162386e-07
15147,0.025442,0.006233,0.010465,128,2.0596823833632721e-07
15148,0.02931,0.011886,0.019535,83,1.3355752954621218e-07
15149,0.031375,0.012203,0.01822,74,1.1907538778818917e-07
15150,0.031198,0.009415,0.015376,78,1.255118952361994e-07
15151,0.028486,0.006557,0.016636,91,1.4643054444223263e-07
15152,0.02992,0.019368,0.009517,49,7.884721623812525e-08
15153,0.021092,0.005632,0.00752,148,2.3815077557637834e-07
15154,0.021702,0.005246,0.00909,148,2.3815077557637834e-07
15155,0.026146,0.012313,0.005306,81,1.3033927582220705e-07
15156,0.032492,0.016449,0.015705,67,1.0781149975417128e-07
15157,0.028987,0.017254,0.007386,57,9.172023113414571e-08
15158,0.029595,0.01764,0.005834,54,8.689285054813804e-08
15159,0.030313,0.0184,0.011412,60,9.654761172015338e-08
15160,0.030351,0.016891,0.01134,61,9.815673858215594e-08
15161,0.028475,0.009706,0.010154,92,1.480396713042352e-07
15162,0.029274,0.00932,0.011234,91,1.4643054444223263e-07
15163,0.028077,0.009455,0.011867,96,1.544761787522454e-07
15164,0.028095,0.017177,0.021787,59,9.493848485815082e-08
15165,0.032265,0.015381,0.0179,63,1.0137499230616105e-07
